"","code","metadata","value","coef","stderr","N","N.not.0","pval","qval","X","species"
"71","b15a1d1ca8cb6871ebcc90458676722bb0","diagnosis","healthy",3.57197630274782,0.401946289431329,1496,1091,1.77207200339417e-18,7.30093665398398e-17,34,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__nan"
"100","b183851787ddf3926a1d5ce29142e84408","diagnosis","healthy",3.46111412719728,0.446796921875493,1496,717,1.73329503787117e-14,5.95097963002437e-13,32,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__pectinoschiza"
"195","b1f76c891d629d97d89c9c0868c609da30","diagnosis","healthy",3.07246219521472,0.464498787948362,1496,1013,5.17763512932426e-11,8.88827363867331e-10,1,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii"
"169","b1dc75f3f030d08a0426033764d9a9449f","diagnosis","healthy",3.05624774786846,0.440484021553233,1496,704,5.89164025209643e-12,1.51709736491483e-10,58,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] ventriosum group;s__nan"
"70","b1597c90c939faf407f1ab3aed92b2c6ce","diagnosis","healthy",2.91697518458888,0.425345002212391,1496,996,1.02024168911476e-11,2.10169787957641e-10,7,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__nan;s__nan"
"149","b1c65ba42dd0422bb59fdaa505eea67f45","diagnosis","healthy",2.84525336471881,0.41194564546144,1496,436,7.30982271815686e-12,1.67313719993368e-10,70,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__nan"
"119","b1972376e2cf4362b4ca93db0d0df9a67b","diagnosis","healthy",2.83520810232154,0.470354524120116,1496,818,2.09084817313595e-09,2.39285957592225e-08,18,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae UCG-003;s__bacterium"
"95","b17bb42642b3a08a90c0781f93fc1548b0","diagnosis","healthy",2.76406439749949,0.425144286793393,1496,753,1.08196754042243e-10,1.59203795233587e-09,66,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae ND3007 group;s__nan"
"199","b1fbc0cea5bd80bfc1c6bc8a800ff8b7af","diagnosis","healthy",2.69695391643089,0.384889683789555,1496,318,3.67175893673475e-12,1.08054620138194e-10,24,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__nan"
"3","b1084a97fb04b22b0b39e9a2fb9b3ede57","diagnosis","healthy",2.65831279326494,0.461206352944506,1496,772,9.97446423406401e-09,8.93365057485733e-08,41,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] eligens group;s__nan"
"121","b19a1e00c3f0ad2af03feea40986b1bcdb","diagnosis","healthy",2.60464961598879,0.433567311050666,1496,988,2.36359858841562e-09,2.47116152904388e-08,51,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__nan"
"73","b15be259cd587784debc01d1cea9080958","diagnosis","healthy",2.59584188991936,0.439554406898287,1496,1090,4.34253958883072e-09,4.25982454904347e-08,3,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__nan"
"51","b14b45689af0eec211a85f8be9d3917d74","diagnosis","healthy",2.5243187786651,0.376789691981285,1496,411,2.95432952540773e-11,5.53265347485448e-10,33,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__hadrus"
"63","b1527a3e7e1bcefb1698f7138b070b220f","diagnosis","healthy",2.4649322844845,0.410479109815507,1496,543,2.39918595052804e-09,2.47116152904388e-08,49,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NC2004 group;s__nan"
"22","b12070f1743b6d4052b5f18327be59f746","diagnosis","healthy",2.33108792809688,0.434759662535758,1496,1057,9.53723396954767e-08,7.55642383741084e-07,29,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium] coprostanoligenes group;g__nan;s__nan"
"81","b1662d5d151e26bd8dc48518001146f87a","diagnosis","healthy",2.26085717986975,0.440490517166193,1496,599,3.23358221890739e-07,2.37899263248187e-06,53,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group;s__nan"
"30","b12c80a3b96da8e4a5011e9607e3e2c1e6","diagnosis","healthy",2.22474678564624,0.361646621116333,1496,1230,9.82653500286133e-10,1.19074482975849e-08,40,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__nan"
