"","rab.all","rab.win.CRC","rab.win.HTY","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","species"
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__nan",8.96413196793949,8.43586558222199,9.46675287149725,0.814233623809267,8.49941157198559,0.088857946584644,0.455200000150542,7.23383597313454e-05,0.00240855433452671,0.000262738454025263,0.0086285796294289,"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__nan"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis",8.5600608958808,7.68763454808931,9.26088312203693,1.05115041492776,9.34211946480221,0.111243277705789,0.442711457901883,0.000182197225055148,0.00524337148295164,3.53683639939879e-05,0.0015365531123675,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis"
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__nan",1.61824585145181,1.34948850522165,1.94437343032488,0.684467545097514,6.89539393526335,0.0974805867706753,0.454400000153275,0.00205672761236679,0.0309450950285459,0.00231564113464937,0.0372922416942905,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__nan"
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae UCG-003;s__bacterium",6.08114192049927,3.15062122681142,7.87488550948112,1.60729034826706,8.95591406367021,0.181228115210191,0.414000000295406,3.18386514269249e-09,2.278116676808e-07,1.72023544587273e-09,1.48948472901844e-07,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae UCG-003;s__bacterium"
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__sanguinis",1.71357320695552,1.41673372563804,2.05511254031273,0.618626797017143,6.93466040151358,0.088597737674222,0.459600000135552,0.00240917031884052,0.034291985698164,0.00221506471815383,0.0378620076603933,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__sanguinis"
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__nan",8.89872410636422,8.38881207761243,9.32121654404042,1.02762496958256,6.57239294763172,0.139050518847311,0.422600000264334,1.06347209596085e-08,7.0360494689369e-07,9.57167418153807e-07,6.03039082602857e-05,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae R-7 group;s__nan",5.82879090088406,3.64788481252723,7.15780551852028,1.36333889505184,8.56728465151994,0.154401126596908,0.425314937267127,4.24587834194553e-05,0.0013728476117949,2.25152583220803e-05,0.000987276663021879,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae R-7 group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__nan;g__nan;s__nan",2.93268609543618,2.37225280798569,3.97640863011848,1.22461805815813,9.09756914894464,0.136398688905089,0.429000000241537,0.000552037044770599,0.0124542335623947,0.000468275520772576,0.0125309598772404,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__nan;g__nan;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1;s__nan",4.17991561600339,2.92279943899728,5.56554084478122,1.10941885617964,7.90845143287436,0.133758001613947,0.436912617690112,0.000345110297267278,0.00821219889851691,0.000210486627273726,0.00655482541007153,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__pectinoschiza",3.4619242765364,2.16832237323115,6.08736973817548,2.0928090854421,7.79098720297905,0.256766201939366,0.387800000393832,1.49732844153646e-11,1.58333714910467e-09,1.56570817302315e-12,2.22666923011626e-10,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__pectinoschiza"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group;s__nan",1.66565713643916,1.26986007464476,2.18435116705072,1.06790570020359,6.57418175453073,0.158823599082756,0.429114177405603,0.000141933369759121,0.00361178259725585,8.61960749732376e-05,0.00264453391674206,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NC2004 group;s__nan",2.01264897372347,1.6187835460939,2.54306738815786,0.97799504078324,8.04955419969114,0.114810458531873,0.438800000207103,0.000393064053052389,0.0090384056051191,0.000467455617211611,0.0115437429851835,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NC2004 group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae ND3007 group;s__nan",3.93869276037495,2.44395521339256,5.99449102477424,1.67868249123071,7.64817997447722,0.209220475351616,0.404719056518201,7.88556927643734e-09,4.92426341566398e-07,1.24531308346187e-09,1.13044647697689e-07,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae ND3007 group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group;s__nan",2.32669333058214,1.91113458528423,2.93001575903462,0.983503472910378,7.67413322152411,0.128579298323879,0.437600000211291,0.00149998039277524,0.024350895315954,0.000775147194012966,0.0166329814675476,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001;s__nan",1.35648773664665,1.02983610716845,1.73762447268724,0.966044402572284,7.04382788899847,0.133002766488038,0.432513497529578,5.69880407329321e-05,0.00143768231770145,0.000171716931045261,0.00395741213319022,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] eligens group;s__nan",5.1386033029594,2.80874630457965,6.77569103772879,1.62901099770909,8.23996113192161,0.190482948645344,0.41120000030564,3.8893309304612e-08,2.42484320441698e-06,7.30273926322077e-09,5.68075147227211e-07,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] eligens group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] hallii group;s__nan",4.2460162613443,2.89696869404824,5.42037104869241,1.40591310205639,7.44036445623828,0.179227185611965,0.420315937085064,3.4616261753932e-05,0.00107960068982172,7.47705409860425e-06,0.000341867198796766,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] hallii group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] ventriosum group;s__nan",3.17970997444759,2.26726201628851,5.11288777164694,1.22450675225617,7.20136789609413,0.16371482890937,0.419116177041394,2.23182840785989e-06,8.82508892755997e-05,7.11886282815941e-08,4.7944502706998e-06,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] ventriosum group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group;s__nan",1.52443974538781,1.21249375569545,1.89722409590451,1.00002445744087,7.20176343323576,0.131268700643823,0.433513297566053,0.000118329576255237,0.00313371950158365,0.000243992450444023,0.0065674376771772,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__nan;s__nan",14.4589216520504,14.1031844873154,14.8093126451769,0.733509893177405,2.52630193970664,0.249258366642264,0.378124375556717,2.05864343210385e-14,3.81280522693423e-12,7.35448994919739e-16,2.17604160809685e-13,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__nan;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__nan",7.85256370213181,6.69391665829177,8.51183910794118,1.70816378478317,6.79918023554895,0.240166855788434,0.366326735132754,3.26824378206703e-17,1.01122324052878e-14,2.56628215756494e-19,1.65514352790922e-16,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__nan",7.94924183384756,7.47505360510057,8.35063675568022,0.922824593930425,5.04612117187743,0.158053125213643,0.399400000349481,8.7375182335233e-10,7.18074823396315e-08,1.83712796448491e-11,2.52657283913603e-09,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__nan",10.9041403644816,10.2186626522673,11.536883360936,1.25828627702477,6.66265650771587,0.161743456111797,0.398600000352498,7.00890503784554e-09,4.97379018899406e-07,4.08726477384373e-11,5.18351511473774e-09,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii",10.2447745957043,8.84160171414805,11.2011057510578,2.04668363317711,9.98383733441776,0.216002987091784,0.379400000426832,3.0064996138829e-13,4.79053904315792e-11,4.67749761693827e-15,9.6957940325416e-13,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__nan",8.08653150885939,6.78140056517286,9.00838757235958,1.55361403400408,8.54311797675192,0.184753790294233,0.408118376641584,8.54961507024693e-10,7.20800191968642e-08,5.60243488807915e-10,5.46394933939273e-08,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__nan",9.46290807366676,8.72626168553892,10.1567253349431,1.23765099423037,8.38321809055262,0.146813222407825,0.414800000292493,3.70022627768193e-09,2.66974952457854e-07,5.65573020519976e-09,4.74015972903211e-07,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__nan;s__nan",11.1607925723295,10.7825752044816,11.4616661213821,0.501696429026128,5.35555014261148,0.0784150024105084,0.448310338106504,0.000211344182714193,0.00609693249879457,0.000234694272581941,0.00803316562425108,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__nan;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium] coprostanoligenes group;g__nan;s__nan",8.50456439061632,7.54784902320678,9.14136970345288,1.43117211846167,8.34706005908577,0.170569608051651,0.417000000284507,1.17830847026285e-07,7.02208352400925e-06,7.55367256134257e-08,5.48799967117813e-06,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium] coprostanoligenes group;g__nan;s__nan"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;s__bartlettii",2.35119982657665,1.99717520067631,2.83749804625475,0.748824898250485,7.73995574647952,0.0911443207323978,0.457508498442951,0.00346023300464922,0.0478339572243871,0.00272139792662463,0.0428468111809466,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;s__bartlettii"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__nan;s__nan",7.47772612082636,6.33253074616761,8.19559574234938,1.89716096395963,7.77488308918852,0.238110625980948,0.37880000042922,5.45358485664216e-13,7.95009766472744e-11,1.48360295113946e-14,2.96693990524797e-12,"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__nan;s__nan"
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__faecium",3.3722884541716,2.69337661918171,4.76851381662012,0.908981073266355,9.20249681787831,0.0990821290323588,0.45000000016835,0.00308685885910737,0.0434685352911646,0.00214921104776307,0.0381823090704459,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__faecium"
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__nan",1.04295461194707,0.783834950057035,1.35397563951828,0.86621448907699,7.24203632084598,0.113981915633936,0.438512297748515,5.33929251797842e-05,0.00131460109031825,0.00117856127356293,0.016705263965076,"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__nan"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__nan",1.47850797855072,1.12525524681556,1.92960938658377,1.17369950398411,7.50325887595149,0.150391116969182,0.425400000254328,2.1997981503275e-05,0.000657331246133978,5.41962601021217e-05,0.00182914782210356,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__nan"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__nan;s__nan",7.93243139063325,7.45305778317711,8.51154436229048,0.858740361798652,8.95538662460997,0.0908501817385064,0.457600000142356,0.00066019755815825,0.0149995792658429,0.000866817236596069,0.0221424781212229,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__nan;s__nan"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__nan;s__nan",1.00647541486825,0.801074033216164,1.25271839731343,0.57249032352382,6.15529086745152,0.0858804861675983,0.452909418274687,0.000452086290762163,0.00931978572147639,0.00326438241007255,0.0404288694621747,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__nan;s__nan"
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__muciniphila",2.41812049767259,1.94651724608361,3.14122567696604,1.03057986389159,8.85241318662936,0.106726825123017,0.448600000173164,0.00341451182772545,0.0475589095395765,0.0018407019426927,0.0316672841361316,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__muciniphila"
