"","taxa","out$res$q_diagnosishealthy","out$res$lfc_diagnosishealthy"
"1","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",0.0142275709716115,0.394914190991979
"2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__nan",0.00192433741929516,0.615178194368594
"3","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__coprocola",0.0194019909076389,0.30474360554763
"4","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius",0.00801867718359984,0.42999749456515
"5","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis",0.0433989475533732,0.378458810917816
"9","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__nan",0.0273670735433119,0.333433253726547
"10","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__nan;g__nan;s__nan",0.0359403585469977,0.20386480368345
"11","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__nan",0.0363601757932289,0.246673482646621
"12","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae UCG-003;s__bacterium",2.83976265429556e-07,0.889118594244308
"13","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae UCG-003;s__nan",0.00050201519282618,0.44475125770381
"15","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__sanguinis",0.0472332661990542,0.257008216313484
"16","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__nan",3.58271794976394e-05,0.646798466251647
"18","d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae R-7 group;s__nan",0.00264107578432334,0.521595774946276
"19","d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__nan;g__nan;s__nan",0.0302765109238755,0.399184405484266
