"","taxa","out$res$q_diagnosishealthy","out$res$lfc_diagnosishealthy"
"6","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__nan",2.77024534804248e-16,-0.854184656158761
"7","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__nan",0.0142275709716115,-0.295175580555167
"8","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__nan;s__nan",0.00725503480897355,-0.329468405331032
"14","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__moorei",0.00042509058373628,-0.296773011648778
"17","d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__morbillorum",1.29474815538037e-05,-0.413975721258191
"34","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__tayi",0.000923044463866716,-0.354861763033086
"35","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus;s__nan",0.0325557662085243,-0.212307494796684
"36","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__hathewayi",0.0452359985110294,-0.238715727348905
"37","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__nan",2.07597610218076e-06,-0.486897765546032
"51","d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__nan",0.00627170234251122,-0.292302726260343
"53","d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__nan",0.022844734807253,-0.205900474443318
"61","d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819;s__nan",0.000442962710320447,-0.47266004975693
"62","d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-011;g__nan;s__nan",0.0232084094831812,-0.288106968679267
"63","d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__nan;g__Parvimonas;s__nan",1.59584695849453e-34,-1.38423171375687
"65","d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__stomatis",2.24977850133727e-19,-0.91088549584715
"73","d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__nan",1.26610439542504e-15,-1.09330664381247
"74","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__nan",0.0433989475533732,-0.152211333093898
"81","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__nan",0.0226721195894062,-0.343328453766644
